Year,A,B,C,D,E
1926,39.75,41.72,30.69,37.36,40.75
1927,39.57,35.17,40.99,30.87,34.83
1928,42.01,44.06,40.44,42.00,41.57
1929,41.39,31.62,32.49,39.92,36.69
1930,31.55,41.20,36.72,40.05,29.47
1931,55.54,53.28,62.35,40.37,58.39
1932,48.11,40.08,47.85,42.57,46.24
1933,39.85,29.57,32.74,29.65,30.34
1934,45.40,41.68,36.13,35.77,46.78
1935,44.89,48.13,30.73,41.40,38.06
1936,32.64,39.48,35.40,31.20,42.82
1937,45.87,44.11,39.16,43.97,37.93
1938,46.05,44.12,43.27,50.43,50.67
1939,49.76,47.11,49.85,40.94,46.85
1940,47.26,56.27,47.86,38.86,50.52
1941,37.07,36.17,32.15,34.32,34.38
1942,45.89,43.24,52.39,47.14,47.60
