Year,A,B,C,D,E
1926,39.75,39.70,30.69,37.36,42.10
1927,39.57,33.46,40.99,30.87,35.99
1928,42.01,41.92,40.44,42.00,42.94
1929,41.39,30.09,32.49,39.92,37.91
1930,31.55,39.20,36.72,36.32,30.45
1931,55.54,53.28,62.35,36.61,58.39
1932,48.11,40.08,47.85,38.61,46.24
1933,39.85,29.57,32.74,26.89,30.34
1934,45.40,41.68,36.13,32.44,46.78
1935,44.89,48.13,30.73,41.56,38.06
1936,32.64,39.48,35.40,31.32,42.82
1937,45.87,44.11,39.16,44.14,37.93
1938,46.05,38.94,43.27,50.62,50.67
1939,49.76,41.58,49.85,41.09,46.85
1940,47.26,49.66,47.86,39.01,50.52
1941,37.07,31.92,32.15,34.45,34.38
1942,45.89,38.16,52.39,47.32,47.60
